"","logFC","logCPM","PValue","FDR"
"IL4R",-3.73468295038061,5.06374039675728,1.1754119484834e-07,5.52231500376457e-07
"ABCD4",-2.44328814911155,4.43692516127858,1.18028154409309e-07,5.54346852746678e-07
"CEP68",2.41624309931803,5.44247162200279,1.18777164591486e-07,5.57691288971217e-07
"CLEC10A",-5.66972320402887,0.669489204854489,1.19276594315302e-07,5.59862161691344e-07
"CD2",-6.3012823914899,0.00244403527621913,1.20045741720731e-07,5.63297296452156e-07
"PODN",-3.94624538903403,3.42576746969735,1.20306407140261e-07,5.64345059899952e-07
"MMP2",-3.76608412018504,3.75776613302679,1.20787850447744e-07,5.66427497441286e-07
"LPPR3",9.20528344310268,2.43878055621243,1.21441854284825e-07,5.6931760313594e-07
"ENAM",-5.80437641575935,-0.137123536913994,1.21854775534277e-07,5.71076074043323e-07
"GAN",2.53742053004389,4.96699320366688,1.22715772413997e-07,5.74932722138179e-07
"FXYD1",-2.56128261560567,5.24861237222736,1.23487376071849e-07,5.78368293636763e-07
"MDGA1",5.25195283271293,5.2413185000802,1.24423530393648e-07,5.82572188819871e-07
"SLC23A3",-5.92575500127359,-0.45085956000596,1.25169000261319e-07,5.85880937366991e-07
"FGF5",6.79108740061436,2.03245589253402,1.26894432500169e-07,5.93773142470577e-07
"ICAM5",8.71309383488331,4.44173837090817,1.28179082231545e-07,5.99598556907165e-07
"ME3",2.9814324999121,4.0326552171084,1.28282541203653e-07,5.99896677663415e-07
"DNPEP",-2.37705021247845,5.06846517966159,1.29359104576849e-07,6.04743801582174e-07
"ZIC3",11.0758437423129,1.96881855241974,1.30004877595596e-07,6.07574636859641e-07
"PIP4K2B",2.44494991861304,7.29778131882681,1.30410822712296e-07,6.09283237300639e-07
"RPS19",-2.29471230715805,7.3379383950431,1.30711665929121e-07,6.10499893451817e-07
"CTTNBP2",2.65274588425163,4.36824715766507,1.32256653368581e-07,6.17524881220028e-07
"HAR1A",4.51764688169378,1.92767974846989,1.32824213547963e-07,6.19983191522175e-07
"MANEA",-2.44393980674068,5.66361153700811,1.33519745650864e-07,6.23037132054403e-07
"TNNT1",6.61555927006756,0.0344957756992271,1.34676368355286e-07,6.27778797712935e-07
"CYR61",-5.12037471458085,4.69457473337566,1.3468266074115e-07,6.27778797712935e-07
"ASPM",-4.79917119162101,1.90534040062724,1.34684618570764e-07,6.27778797712935e-07
"AFAP1L2",2.70687655572491,4.22098809805818,1.34702205601981e-07,6.27778797712935e-07
"C1orf210",-5.9477879857417,-0.455995952397578,1.36023605859937e-07,6.33741576206431e-07
"GABRA6",12.3725064666864,5.56968248380995,1.36555612178915e-07,6.36023980228752e-07
"TRIM56",-2.77261778985208,4.12877259389598,1.37311662909435e-07,6.39348168341804e-07
"DPY19L2P1",5.33361760477328,1.41806925363493,1.38857438015313e-07,6.46346274362277e-07
"CD47",2.32259225351692,7.25461396996385,1.39104803296623e-07,6.4729816017843e-07
"MAPRE3",2.99440970498421,4.85779186250738,1.39152894578682e-07,6.47322460917468e-07
"INSR",-2.37480924498462,8.27904797189054,1.39788128893398e-07,6.50077223988391e-07
"NHS",3.65802148713318,3.10994299205887,1.40332542185953e-07,6.52408062502428e-07
"TP53I13",-2.94916889582279,3.41402908128032,1.41023817372509e-07,6.55420019182789e-07
"TCF4",2.77578210750419,7.41058963165996,1.41600783493917e-07,6.5789902484866e-07
"CDH9",12.2223370241376,3.08930946435516,1.42018363103249e-07,6.59636198972333e-07
"ZNF793",3.70511221499185,2.96452997147953,1.42809491660757e-07,6.6310680322184e-07
"FAM124A",3.43521194652819,3.07859334508815,1.43239252512959e-07,6.64897852119793e-07
"AGFG2",-2.32587179753927,5.56284260021635,1.43679653533504e-07,6.66737175278398e-07
"LOC100093631",2.80900163970047,6.60314815779658,1.43866252563611e-07,6.67397976562375e-07
"APRT",-2.58915086048769,4.91110854341128,1.44288398627726e-07,6.69150743021704e-07
"TEAD3",-4.08421169896775,2.62559370906763,1.44744500005278e-07,6.71059855719896e-07
"PAPL",9.6613200128576,0.615303776941368,1.44922760421557e-07,6.71680074390886e-07
"FRMPD2P1",8.31530374202259,2.58104516119681,1.45595613735325e-07,6.745915211425e-07
"ADAMTS2",-3.73133871749377,4.37658088092778,1.45958231586916e-07,6.76064201522216e-07
"MMACHC",-2.71986091172879,4.55418204525518,1.46863253130347e-07,6.80047568926169e-07
"SERP2",4.68174029119001,2.84249853421358,1.47255556850773e-07,6.81655091491927e-07
"BMPR1B",3.5869043052736,4.40884161517049,1.48767823748026e-07,6.88444418815566e-07
"GBP2",-3.33306554226586,3.51363508500862,1.50933839904408e-07,6.98253977498945e-07
"CWH43",-6.15345172611842,0.120015594602544,1.5157041985719e-07,7.00984177593741e-07
"MYL9",-3.45667717815173,4.18210605688886,1.52197173310494e-07,7.03667274031983e-07
"CFTR",-4.09964612398208,1.99897979232534,1.52313403518697e-07,7.03989101050603e-07
"GPC5",3.64029977410983,2.85267006714677,1.52693428851115e-07,7.05529613112557e-07
"DKFZp586E1322",-4.73511204470497,1.62806464613043,1.54893075975122e-07,7.15474287924241e-07
"TTLL1",3.19553732659418,2.97614707530883,1.55172308008877e-07,7.1654490854252e-07
"IRS1",-2.42464591384245,6.36966806136615,1.57674164564449e-07,7.27875232321365e-07
"ENPP6",4.8402318785932,2.05188124851676,1.59725983430646e-07,7.37121745049741e-07
"STAT3",-2.21116204372702,7.52208167953263,1.621270735802e-07,7.47973972215403e-07
"KIF26B",3.20010351046834,3.40279099308829,1.62283227859926e-07,7.48465711876875e-07
"NINJ1",-2.38975668066081,4.78392440834471,1.62703728128351e-07,7.50175967858964e-07
"KIFAP3",2.42129407615809,6.56884989720085,1.63029033452851e-07,7.51446399614789e-07
"AK054905",8.28090877394168,2.35784731026962,1.64215809791731e-07,7.56685605082437e-07
"PHLPP2",2.270651452294,5.48570829732363,1.64444193019214e-07,7.5750680737954e-07
"FH",-2.2636013935047,6.7552305165755,1.64684861495433e-07,7.5838408312932e-07
"AK4",-2.48987873711779,8.2097783220713,1.65413980559991e-07,7.61509483675568e-07
"CYP26B1",4.41128867917145,4.79528306936746,1.6648530284349e-07,7.66207885686286e-07
"C16orf89",6.0186359749269,1.7842782044418,1.66721613903592e-07,7.67061660555834e-07
"FMOD",-3.93150552384995,3.56852742579625,1.67259303217759e-07,7.6930109003599e-07
"SERTAD4",4.52403990644707,1.37448444923481,1.6772316424884e-07,7.7119968945112e-07
"VLDLR",3.23547827696771,3.97651461047648,1.67917004847711e-07,7.71563299712085e-07
"PPP1R17",9.80409366843858,3.02812987850074,1.67917279761674e-07,7.71563299712085e-07
"LRRC38",9.51382425022342,0.478361946940002,1.67955534182359e-07,7.71563299712085e-07
"TIAM1",3.97410725691924,7.61228850997111,1.69250559023388e-07,7.7727598578259e-07
"C20orf194",2.73600736622567,5.66191804942199,1.70605057124191e-07,7.83258243409938e-07
"ZFP28",3.0610712712009,3.75766448257517,1.70724102466572e-07,7.83566549314661e-07
"LARP4",-2.28676328258295,7.4925185965042,1.70880664430613e-07,7.83891383424682e-07
"RGS11",3.73707603492792,2.91559343522059,1.70898704253911e-07,7.83891383424682e-07
"PRSS8",-6.28067115679834,3.34399892259147,1.71918411088462e-07,7.88329185373756e-07
"SEC16B",-4.04294126849605,5.855296466627,1.72106028871036e-07,7.88949919839905e-07
"MYBPC1",5.74776894140308,2.89265721838801,1.72362103174074e-07,7.89883993301523e-07
"NFATC2",-2.91715405463652,3.53583796564568,1.75281890754824e-07,8.03020798057598e-07
"SIX5",-3.6709561371304,2.54612868644818,1.75473783669553e-07,8.03656091419549e-07
"NPM2",4.71888838769217,3.36503770884294,1.75926430572256e-07,8.05484870115546e-07
"PIRT",10.2384934340402,1.16209452079865,1.76754688260599e-07,8.09031765000014e-07
"LINC00086",6.57976261213727,4.35877211124266,1.78827927669388e-07,8.1827324479023e-07
"DQ592230",7.25942467549548,2.02199306308107,1.80439136931374e-07,8.25395627889654e-07
"NPAS3",4.95767517292353,3.52805951069771,1.81059908279343e-07,8.27984438224735e-07
"GNG2",3.16972118646561,5.96914951087543,1.81498006454428e-07,8.29736572044163e-07
"RAVER2",3.21949267572752,3.72747908722199,1.85563109096151e-07,8.48063846050812e-07
"ETHE1",-2.77128867239135,3.70914220867436,1.88657093027675e-07,8.61943148174853e-07
"SLC2A4",-4.05606335557892,2.33756148624794,1.88909578581001e-07,8.62835643246557e-07
"LCK",-6.24609363102636,0.251138360796644,1.89258140213019e-07,8.64166288846867e-07
"MAPKBP1",2.6282999045459,5.22194073311053,1.90330537614747e-07,8.6880021704434e-07
"KCNG1",5.5258384823647,1.51124965202889,1.9203435362642e-07,8.76312704671789e-07
"PPIF",-3.02626894086843,6.53472148520177,1.92122654057564e-07,8.7645077832907e-07
"SLC22A10",-5.99782402028752,5.58800358390382,1.93011597349524e-07,8.80240144964605e-07
"UST",3.16294023710665,4.43243941477793,1.94627761428269e-07,8.87342752888546e-07
"CADPS2",2.95182258413893,7.37667044924941,1.9472094838853e-07,8.87499644028616e-07
"RAP1GAP",2.81452082698124,5.79654767736946,1.95262455551114e-07,8.89699178884076e-07
"ZDBF2",2.38051488007225,6.35091726699453,1.95490960981276e-07,8.90471647305359e-07
"PABPC1",-2.24286991350809,7.59488921973517,1.95777453191803e-07,8.91507703014543e-07
"TMEM45B",-4.87884539015456,2.68166973860161,1.96328328074443e-07,8.93746684933402e-07
"C8orf4",-4.26845095602747,4.77183793475319,1.98116746862637e-07,9.01616298259741e-07
"LACTB",-2.62597337247865,4.3301029688158,2.00123442400563e-07,9.10474233277645e-07
"FAM127A",2.54810120346464,5.30008466302221,2.01160065526304e-07,9.14914755857588e-07
"TNFRSF21",2.49676050405134,4.81812455673914,2.03923714854278e-07,9.27205087112194e-07
"NR2F2",-2.63145492358583,4.55338664181528,2.04095372828429e-07,9.27706240129224e-07
"KRT18",-6.6219550107525,7.04204734669311,2.07762020312135e-07,9.4408862675692e-07
"FMN1",5.02220111422685,5.37410112967047,2.07949124529729e-07,9.44654566907013e-07
"GATSL2",3.87842456088435,2.79468591595064,2.09689770717186e-07,9.52275349723162e-07
"RIMKLB",2.922272953086,4.61666230060616,2.10813464874677e-07,9.57090595191708e-07
"SPTAN1",2.28577505803093,9.73610594338079,2.10986231763854e-07,9.57587045276284e-07
"FDX1",-2.38239858504431,5.41747238772161,2.11433148458215e-07,9.59327085853081e-07
"ADAMTS12",-5.27497521085976,2.09294323463311,2.13321672407127e-07,9.67548954141928e-07
"PLCB1",3.81081751871709,7.26359036015958,2.1337337862865e-07,9.67548954141928e-07
"C10orf10",-3.06673509120864,5.65700288469238,2.14153613994405e-07,9.70795428194393e-07
"TBC1D2B",-2.38995473092322,6.31660411126543,2.14503989452072e-07,9.72091908981478e-07
"PMM2",-2.87897888505283,4.45850277010914,2.1487164574405e-07,9.73465901810729e-07
"CRLF1",5.40739870273527,2.51256426165428,2.17278111155121e-07,9.84073028926912e-07
"CALCOCO2",-2.17368668240885,6.04107979442167,2.18012331481262e-07,9.8710231045489e-07
"GNG7",2.60226133469631,4.91695869720951,2.18175308440086e-07,9.87544111944035e-07
"THY1",5.13625339989553,7.87223272441375,2.18256098911639e-07,9.87613752941489e-07
