"","Gene","S7_avg","S12_avg","S13_avg","Class"
"SPDL1","SPDL1",5.92620869073521,4.91404536920941,6.51406744409094,"not_elevated"
"SPECC1","SPECC1",32.844571751614,39.8138751234939,33.4829999458059,"not_elevated"
"SPECC1L","SPECC1L",87.4113424131468,110.803325647612,107.152055114019,"not_elevated"
"SPEF1","SPEF1",2.44097821264273,1.23050896434188,0.646417506697544,"individual_elevated"
"SPEF2","SPEF2",12.5533614658868,8.17676217152781,10.0950853735015,"not_elevated"
"SPEG","SPEG",99.4290999905483,198.18551139646,143.102612250215,"not_elevated"
"SPEN","SPEN",119.343838293004,171.763518641228,136.097911267897,"not_elevated"
"SPG11","SPG11",126.189441377252,117.907739729986,121.616981963367,"not_elevated"
"SPG20","SPG20",83.9924284478567,62.2929207651113,77.2525606213962,"not_elevated"
"SPG21","SPG21",47.4165658345227,41.9081052216343,36.4139202895254,"not_elevated"
"SPG7","SPG7",72.4200374690327,75.8521625114492,53.2259950781365,"not_elevated"
"SPHK1","SPHK1",2.43542652773159,3.36163508381232,2.31250021463214,"not_elevated"
"SPHK2","SPHK2",11.9157684349091,12.9672030554671,9.73532720008082,"not_elevated"
"SPHKAP","SPHKAP",111.295292374027,23.102941010784,159.271160972136,"individual_elevated"
"SPI1","SPI1",12.8906008586071,4.84574055141303,13.1991817386547,"not_elevated"
"SPICE1","SPICE1",11.6444401309227,20.3058912050106,15.5981498595756,"not_elevated"
"SPIN1","SPIN1",111.848801285611,102.535209772882,86.0930258492792,"not_elevated"
"SPIN2B","SPIN2B",4.07181517946685,3.87371805559397,3.29695375042612,"not_elevated"
"SPIN3","SPIN3",10.9978390285856,14.9806605159378,12.4392017858866,"not_elevated"
"SPIN4","SPIN4",6.10136204252142,5.22532987782228,4.63639809828306,"not_elevated"
"SPINT1","SPINT1",22.8823874352805,24.2020181208253,29.1212712650694,"not_elevated"
"SPINT2","SPINT2",41.7251795495473,45.0289036856862,50.4268167245343,"not_elevated"
"SPIRE1","SPIRE1",63.3155968971265,54.6290189824786,62.2247880495021,"not_elevated"
"SPIRE2","SPIRE2",4.02851857333576,5.46013892181569,4.14451460633942,"not_elevated"
"SPN","SPN",12.7645834496368,5.15398683474645,17.025880210185,"not_elevated"
"SPNS1","SPNS1",15.4193122152592,13.8313510461107,14.5272372391859,"not_elevated"
"SPNS2","SPNS2",24.9037537169603,34.512653600054,25.4712803993218,"not_elevated"
"SPOCD1","SPOCD1",3.67666126166939,1.93673492538656,2.2371463799225,"not_elevated"
"SPOCK1","SPOCK1",59.2091883469113,53.4794294165838,100.132089855737,"not_elevated"
"SPOCK2","SPOCK2",126.800737776625,118.584195536663,197.482165073555,"not_elevated"
"SPOCK3","SPOCK3",29.9469378905229,14.2361598268902,15.4926002310355,"individual_elevated"
"SPON1","SPON1",33.6734951399199,54.0946282046075,41.4770052594254,"not_elevated"
"SPON2","SPON2",7.0389776104227,16.4191920395853,12.8420721281598,"not_elevated"
