"liver_S7"	"brain_S7"	"muscle_S7"	"heart_S7"	"kidney_S7"	"lung_S7"	"liver_S12"	"brain_S12"	"muscle_S12"	"heart_S12"	"kidney_S12"	"lung_S12"	"liver_S13"	"brain_S13"	"muscle_S13"	"heart_S13"	"kidney_S13"	"lung_S13"
"ABCC3"	4915.92	4	4	5	1607.85	2150.8	5669.47	20	3	5.29	182	691.68	5768.82	12	5	10	2647.37	1293.26
"ABCC4"	101	385	251	214	3969	1801	175	335	354	556	2830	2046	236	228	1001	527	4779	2357
"ABCC5"	173	2184	949	1373	842	1325	448	4770	1292	556	2784	1438	467	3158	1313	1425	1120	886
"ABCC5-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCC6"	10932.3	14	47.84	41.73	3943.37	746.9	8135.09	25.67	52.82	4	368.47	520.83	9164.73	16.26	186.56	5	4055.5	894.46
"ABCC6P1"	1052.6	4	1.15	2.27	386.11	85.58	1949.08	10.33	4.18	1	33.4	81.83	1704.43	6.74	7.44	2	668.37	67.95
"ABCC6P2"	89.09	2	6.01	3	138.52	15.52	152.83	0	0	2	33.13	17.32	114.85	1	5	0	150.13	21.59
"ABCC8"	3	668	2	19	4	5	0	1820	28	33	11	114	1	1419	20	35	13	6
"ABCC9"	13309.84	1635.97	6625.84	9234.44	1330.73	2214.99	6939.92	2158.72	5297.36	6081.74	3154.46	3264.77	9826.24	948.95	12794.71	11717.37	1655.35	2039.18
"ABCD1"	354	71	287	225	303	653	458	114	328	125	537	296	316	86	566	251	359	563
"ABCD2"	11	1676	35	1236	36	99	8	1785	45	117	10	74	14	5177	25	451	65	67
"ABCD3"	8062	2297	1702	2938	6640	2466	5355	1856	1316	915	5134	1116	4601	3948	2233	1503	5496	2809
"ABCD4"	945	242	137	219	887	693	673	333	165	191	526	506	834	415	172	213	976	583
"ABCE1"	2371	3216	1634	1862	2280	1925	1091	2181	821	758	2223	1125	1442	3975	2453	989	2107	1932
"ABCF1"	1174	1182	1608	965	1312	1580	1100	1648	1927	488	1547	1001	1125	1637	2400	700	1514	1638
"ABCF2"	671	2254	1899	1232	1517	1551	403	2835	1627	579	1534	952	587	2549	2658	919	1602	1346
"ABCF3"	850	1443	1155	811	1112	1160	766	2024	1432	327	1160	733	843	1715	1484	625	1209	981
"ABCG1"	466	1049	711	566	1107	5596	37	1422	539	302	1459	2267	476	2363	691	529	577	3662
"ABCG2"	3535	1923	23	106	533	1221	776	1426	7	93	276	429	1724	2143	51	143	485	1001
"ABCG4"	4	286	0	6	3	0	0	603	1	8	33	4	1	579	1	13	0	1
"ABCG5"	1963	3	0	0	17	0	2175	10	0	0	11	0	2052	0	0	1	4	0
"ABCG8"	3402	12	0	0	39	0	3055	28	0	0	35	0	2638	13	0	1	11	2
"ABHD1"	28	9	15	7	10	4	16	12	24.83	5	20	0	12	6	44.97	6	2	0
"ABHD10"	1696	1976	831	1565	3896	1096	834	1816	436	352	1458	534	956	3004	1006	806	3036	862
"ABHD11"	151	130	127	251	504	352	58	185	105	63	395	121	90	252	151	132	395	195
"ABHD12"	447	2044	119	190	793	1217	360	2453	71	141	1876	439	552	2141	163	244	940	1215
"ABHD12B"	0	93	0	1	4	34	0	119	0	0	1	9	0	16	0	0	5	6
"ABHD13"	767	1214	458	629	662	1202	911	1324	450	605	905	711	851	2209	786	714	685	1233
"ABHD14A"	193	670	236	144	858.78	207	125	791	171	49	340.18	90	133	1103.29	254	79.95	509.41	252
"ABHD14A-ACY1"	0	0	0	0	23.09	0	0	0	0	0	7.56	0	0	82.54	0	4.22	15.76	0
"ABHD14B"	3701	99	163	200	2874	1025	1967	164	192	194	1526	636	2315	280	230	233	2354	1150
"ABHD15"	1735	110	81	122	598	754	2157	144	55	113	378	261	915	117	104	164	680	532
"ABHD16A"	1182	1438	636	479	1088	1466	918	1801	487	258	1258	814	1232	2131	771	351	1194	1554
"ABHD16B"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"ABHD17A"	425	1848.62	736	269.34	491	1569.94	473	2350.99	426	384	446	959	376	2061.99	613.63	402	712	1156.92
"ABHD17B"	814	2312	599	341	664	867	581	1419	541	197	753	530	692	2295	788	261	891	585
"ABHD17C"	97	411	17	117	641.38	771.27	113.49	502.71	17	52.35	1354.18	653.61	129.81	428.24	41	66.64	424.62	789.89
"ABHD2"	30581	7129	953	5236	5134	18463	29583	11290	883	3602	7025	5217	24372	10638	1229	3868	4903	15860
"ABHD3"	782	205	222	78	418	687	506	218	216	40	459	399	527	568	169	97	410	622
"ABHD4"	428	283	340	406	997	848	393	268	317	239	1199	619	373	382	239	357	959	960
"ABHD5"	835	752	942	983	907	2144	616	644	591	318	1232	727	926	1890	1113	516	1034	1779
"ABHD6"	1841	1465	51	143	1447	651	1245	1264	67	63	753	422	890	2209	118	105	1158	474
"ABHD8"	345	1483	171	56	209	468	473	2415	112	101	338	186	249	1398	153	76	341	364
"ABI1"	1033	3346	897	916	1654	2977	531	3178	459	556	1900	1617	1234	4502	1049	790	2086	2699
"ABI2"	481	12723	584	2736	2960	2687	329	16605	566	1318	3158	1876	717	11920	875	1816	3192	2577
"ABI3"	112	36	25	78	392	720	31	47	9	102	365	449	106	35	27	131	192	721
"ABI3BP"	231	63	555	1303	784	5513	99	78	520	2929	537	7261	414	94	355	1988	979	5479
"ABL1"	860	1639	840	1012	2353	2346	1118	1848	1258	1393	2478	2005	999	1693	1216	1366	2832	2019
"ABL2"	550	2837	599	989	1263	2024	873	3773	689	849	1839	1645	678	4731	1076	944	1470	2296
"ABLIM1"	2080	7073	2264	42247	10061	6872	1940	8091	1230	9156	11610	5527	3060	52278	6524	23604	10516	7667
"ABLIM2"	18	1729	2227	121	201	91	31	3372	3999	116	81	109	40	876	3398	170	126	99
"ABLIM3"	1469	1060	410	3363	552	1328	2104	1448	492	1529	107	1102	2079	3812	720	3253	891	786
"ABO"	0	0	1	1	49	116	0	17	3	11	156	94	1	0	4	16	181	49
"ABP1"	643	0	17	3	6429	29	734	0	0	5	116	11	7	2	11	3	7765	46
"ABR"	190	12845	523	3563	1032	4263	164	26183	663	1599	1087	2909	361	5029	649	4003	915	4141
"ABRA"	0	4	5389	306	0	7	0	8	3332	434	1	14	1	9	9416	254	0	2
"ABRACL"	224	288	4	62	398	409	19	299	1	65	76	151	181	64	13	72	540	391
"ABT1"	492	428	299	205	360	688	279	384	212	142	419	346	332	609	344	198	418	574
"ABTB1"	70	209	69	62	101	389	132	774	194	176	156	324	261	726	124	176	186	239
"ABTB2"	681	183	284	224	478	84	609	239	543	354	869	58	521	500	522	397	686	110
"AC2"	0	0	2	1	2	6	0	0	1	0	3	5	1	0	0	1	1	1
"ACAA1"	17658	919	457	1372	5274	1303	9767	1133	631	396	1765	799	8238	764	533	914	5454	1594
"ACAA2"	27821	874	2475	4500	10020	1962	8261	574	1994	641	5826	781	13625	944	2625	1764	10543	1720
"ACACA"	3430	7035	938	1640	1338	3567	2534	10576	1135	485	2583	2858	1887	6307	1249	940	1462	4145
"ACACB"	12555	602	5245	4564	2528	1520	15652	941	11122	1506	6854	1609	10060	1081	8198	4070	2294	1333
"ACAD10"	1739	313	195	969	1905	620	1214	443	425	255	1409	421	1053	356	324	597	1846	559
"ACAD11"	4851.65	314.92	140.32	426.82	2815.54	623.68	4481.63	646.57	169.7	371.41	1075.5	978.65	5063.66	844.08	233.85	668.27	3789.07	400.01
"ACAD8"	1113	782	949	1067	1689	589	825	1172	685	280	1005	495	825	1090	1092	631	1666	609
"ACAD9"	1090	1010	717	921	1101	911	904	1215	701	238	849	580	846	1329	1084	554	1227	856
"ACADL"	848	35	486	47	955	453	668	75	214	21	520	239	1053	67	287	22	1052	684
"ACADM"	10969	1752	9966	8348	10790	1564	3917	1380	9477	1421	6662	758	5316	2902	10233	2725	9608	1648
"ACADS"	8468	352	2064	1307	1933	840	3804	228	1939	431	411	355	5109	269	2663	710	2025	742
"ACADSB"	64277	2468	3016	4348	11525	1336	20116	2216	2278	474	4000	706	24725	4167	4657	1839	10397	2232
"ACADVL"	14979	1786	14493	13489	9121	5432	9470	2548	12384	3490	7894	5266	10172	3571	18133	7811	10482	5011
"ACAN"	0	133	12	44	183	278	0	181	30	36	128	41	11	26	24	27	203	10
"ACAP1"	44	0	19	17	18	290	29	10	7	9	20	348	48	6	22	18	24	229
"ACAP2"	1861	2462	1047	1578	2512	5455	1068	2204	639	1130	2235	3537	2154	4040	1202	1730	2509	5153
"ACAP3"	330	2163	269	290	495	778	730	4832	390	303	418	923	426	5328	371	495	747	662
"ACAT1"	18375	1739	11637	8395	15295	1876	5860	1597	6026	890	6981	1123	13101	2284	10534	2492	13609	2220
"ACAT2"	3854	2149	115	114	817	620	1555	1866	85	61	451	252	1648	1111	130	68	760	1176
"ACBD3"	1098	1640	1272	1231	1476	2194	701	1644	793	708	1629	1406	931	3138	1596	918	1754	2515
"ACBD4"	1667	163	63	63	696	214	1322	222	67	79	298	218	925	354	87	86	775	299
"ACBD5"	4099	3354	1579	3337	2597	1825	3303	2907	1254	705	3550	1026	4114	3856	2235	1303	2973	1947
"ACBD6"	277	584	409	286	510	676	300	752	203	185	651	624	269	979	431	214	654	623
"ACBD7"	5	2088	1	2	28	24	1	1861	0	1	18	12	7	2537	1	0	19	14
"ACCS"	318	51	42	114	454	331	730	302	80	140	510	1046	173	98	53	152	326	554
"ACCSL"	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
"ACD"	102	329	59	78	196	270	86	452	50	71	175	198	102	727	73	82	229	224
"ACE"	76	144	223	467	2176	8351	29	248	220	657	47	7590	182	105	250	464	2615	7821
"ACE2"	204	2	25	543	6780	80	150	13	73	465	115	34	180	10	17	519	5893	90
"ACER1"	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	2
"ACER2"	78	120	73	108	112	235	22	186	42	150	105	149	433	153	94	207	208	224
"ACER3"	243	1504	113	348	714	2211	194	1438	74	242	726	945	351	1401	238	315	786	2377
"ACHE"	87	518	2641	18	38	66	110	1109	2654	24	44	56	143	1372	1847	19	70	47
"ACIN1"	1173	1746	1354	1589	2209	3183	1462	2751	1520	898	2573	4385	1527	4202	1883	1525	2766	2959
"ACLY"	1680	4662	662	1558	5068	5274	2067	5268	556	1040	3242	3218	1467	4791	816	1285	5944	4829
"ACMSD"	3151	0	3	0	3713	1	1779	0	0	0	160	0	3167	0	0	0	3787	0
"ACN9"	300	157	225	254	441	164	146	172	183	68	517	107	191	178	333	84	467	187
"ACO1"	10529	996	1134	3021	6997	2603	5596	1084	1021	696	2893	1346	8867	1609	1757	1478	5997	2553
"ACO2"	3165	8258	11413	19685	10850	3098	2355	9856	13245	4320	7489	1526	3278	8206	12500	11692	10218	3014
"ACOT1"	1073.95	228.12	194.4	336.55	444.22	190.97	173.61	64.88	141.86	13.29	73.22	33.04	318.87	110.81	227.56	170.03	296.09	515.43
"ACOT11"	26	229	83	985	1795	257	16	643	489	424	2131	215	28	394	458	1431	1861	155
"ACOT12"	1072	0	1	0	61	0	1367	6	2	1	20	2	2122	1	2	0	79	0
"ACOT13"	2835	604	604	938	2188	609	987	721	601	165	789	275	1349	739	936	371	2326	746
"ACOT2"	4394.05	587.88	1272.6	1923.45	1812.78	853.03	1970.39	621.12	1160.14	340.71	756.78	377.96	1469.13	564.19	1159.44	670.97	1700.91	1210.57
"ACOT4"	588	141	16	34	487	234	270	204	15	8	50	33	190	68	6	10	410	211
"ACOT6"	13	0	1	0	51	0	5	2	0	0	1	0	3	3	0	0	20	0
"ACOT7"	367	2246	14	52	1090	515	172	4072	22	66	175	220	363	1267	31	111	1628	737
"ACOT8"	402	812	334	215	553	440	348	998	328	90	704	256	363	715	544	191	541	493
"ACOT9"	268	439	614	990	522	1151	212	656	466	481	884	1050	445	538	527	654	549	994
"ACOX1"	32286	3766	4549	6287	8748	5359	18285	4084	4037	1166	5363	2232	20941	5726	6218	2561	8507	5255
"ACOX2"	7136	37	70	444	1435	257	3827	61	191	159	250	178	4260	146	287	375	1510	290
"ACOX3"	1219	636	204	432	672	783	872	1021	191	198	724	549	714	643	243	333	596	760
"ACOXL"	0	0	0	0	5	641	0	0	0	1	3	886	0	7	4	1	4	859
"ACP1"	2518	2175	1730	1182	2673	1672	1227	2565	936	375	2245	926	1674	2346	1985	572	2762	1872
"ACP2"	2085	889	223	274	1037	1047	1662	1186	246	186	1151	543	1745	1107	290	288	1120	946
"ACP5"	378	7	15	23	1090	14294	118	13	9	23	22	1588	373	12	22	33	836	13276
"ACP6"	284	123	69	137	380	299	332	150	68	63	498	202	326	218	140	174	518	182
"ACPL2"	192	797	114	289	353	275	203	1007	74	232	285	214	197	794	165	246	420	279
"ACPP"	4	8	6	9	3816	163	1	5	1	9	877	61	5	15	1189	7	1451	287
"ACPT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACR"	1	0	2	0	2	0	2	4	3	0	2	2	1	1	0	1	5	9
"ACRBP"	9	7	2	3	19	36	5	8	0	4	11	6	17	60	3	3	24	41
"ACRC"	11	70	41	32	34	37	69	124	50	23	78	99	75	173	49	43	43	31
"ACRV1"	0	21	0	0	0	0	0	13	0	0	0	0	0	1	2	2	0	0
"ACSBG1"	0	1951	0	1	2	153	0	1125	1	0	0	1	0	1838	2	1	5	28
"ACSBG2"	0	3	1	0	158	7	0	3	1	4	3	7	0	23	0	0	106	0
"ACSF2"	1892	250	676	270	6819	791	977	159	650	54	260	762	840	691	930	217	6746	979
"ACSF3"	605	333	183	109	553	597	632	444	228	81	626	437	503	649	299	203	872	393
"ACSL1"	90566	2446	13618	13188	13864	5366	44290	1575	14616	2462	22254	2621	40263	2450	15506	5255	11106	5997
"ACSL3"	4203	10029	2977	2329	3023	3951	1773	9891	2513	1139	4517	1880	1685	10182	5085	1704	2995	3845
"ACSL4"	476	5355	1070	2635	6943	6108	111	6770	763	1494	4674	3456	631	5254	1514	1595	8313	6274
"ACSL5"	10937	214	114	458	369	2596	3795	221	104	447	553	1721	2836	207	175	563	476	3328
"ACSL6"	641	9740	103	148	924	73	301.8	10792.81	61	13	815	35	162	16897	80	78	495	45
"ACSM1"	37	0	0	4	4	10	3	1	0	0	6	6	33	3	3	3	11	13
"ACSM2A"	12096.27	0	21.18	1.45	6934.6	0	11803.93	3	1	0	149.39	2	10561.69	0	2	2	7113.93	1
